Hours,ADX,MACD,Signal Line,Histogram,%K,%D,Open,High,Low,Close,Output
2615,18.4527791001,-0.060139354388,3.5767717544,-3.63691110878,18.9655172414,48.8210092951,3738.01,3738.21,3725.0,3730.0,-1.0
2616,18.0738383685,-1.46615106907,2.5681871897,-4.03433825877,12.1551724138,46.4238853462,3730.0,3734.54,3726.05,3726.05,-1.0
2617,18.6776628635,-3.41814143163,1.37092146544,-4.78906289707,11.1015243026,44.1607988159,3726.0,3726.07,3707.46,3715.18,-1.0
2618,18.8103850348,-4.20254252559,0.25622866723,-4.45877119282,23.8280126546,42.8693492531,3715.18,3731.64,3710.15,3724.03,1.0
2619,18.9336270509,-5.36989332541,-0.868995731297,-4.50089759411,12.9997123957,42.926328512,3724.87,3729.0,3714.1,3716.5,-1.0
2620,19.1632084926,-6.11559673466,-1.91831593197,-4.19728080269,15.6523049111,41.112455155,3717.29,3725.0,3712.0,3717.85,1.0
2621,19.2335461423,-6.21453135177,-2.77755901593,-3.43697233584,23.5010545345,38.0746173673,3717.83,3726.6,3716.0,3723.06,1.0
2622,18.7318257144,-5.67558233268,-3.35716367928,-2.3184186534,37.0847793753,33.7854572787,3723.06,3733.02,3721.0,3729.9,1.0
2623,18.2659424599,-5.4534931316,-3.77642956974,-1.67706356185,33.2290580466,30.6498873326,3730.82,3731.0,3722.12,3726.58,-1.0
2624,17.8333365807,-5.42156007512,-4.10545567082,-1.3161044043,28.7799791449,28.3435885231,3726.57,3727.0,3722.8,3724.02,-1.0
2625,16.5604647814,-4.83139531491,-4.25064359964,-0.580751715271,39.7462634689,26.1308284128,3724.17,3736.51,3724.0,3730.33,1.0
2626,16.2650762231,-3.10700531401,-4.02191594251,0.914910628505,93.7345831278,24.3725565916,3730.83,3748.0,3726.0,3745.46,1.0
2627,16.9465194195,-0.64046607895,-3.3456259698,2.70515989085,91.9700214133,29.3437460268,3747.25,3763.5,3741.89,3759.0,1.0
2628,16.4223934027,-0.742061081925,-2.82491299222,2.0828519103,46.3062098501,33.8489938618,3758.98,3759.68,3727.97,3733.41,-1.0
2629,16.0815304379,0.842068885338,-2.09151661671,2.93358550205,83.3333333333,34.9324423486,3733.12,3762.0,3733.0,3754.16,1.0
2630,15.7650148278,1.68511009746,-1.33619127388,3.02130137134,74.6431120628,39.530143498,3754.06,3761.48,3742.2,3749.29,-1.0
2631,14.8700004516,1.88367389503,-0.692218240096,2.57589213512,62.961574508,43.9935677587,3749.01,3752.26,3734.98,3743.74,-1.0
2632,14.0389156736,2.21720765215,-0.110333061647,2.3275407138,66.4854368932,47.6978570591,3743.8,3750.98,3736.18,3746.24,1.0
2633,13.2671940941,1.86772888463,0.285279327608,1.58244955702,52.2330097087,50.7448159333,3746.24,3750.0,3737.0,3738.9,-1.0
